roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,percentage,pass_fail
std-01,male,group D,some college,1.0,1.0,89.0,38.0,85.0,26.0,238.0,D,59.5,Pass
std-02,male,group B,high school,1.0,0.0,65.0,100.0,67.0,96.0,328.0,B,82.0,Pass
std-03,male,group C,master's degree,1.0,0.0,10.0,99.0,97.0,58.0,264.0,C,66.0,Pass
std-04,male,group D,some college,1.0,1.0,22.0,51.0,41.0,84.0,198.0,D,49.5,Pass
std-05,male,group C,some college,0.0,1.0,26.0,58.0,64.0,65.0,213.0,D,53.25,Pass
std-06,male,group B,high school,1.0,0.0,40.0,49.0,69.0,48.0,206.0,D,51.5,Pass
std-07,Unknown,group C,some college,0.0,0.0,34.0,48.0,84.0,73.0,239.0,D,59.75,Pass
std-08,male,group B,associate's degree,1.0,1.0,25.0,80.0,34.0,17.0,156.0,D,39.0,Fail
std-09,male,group C,Unknown,1.0,1.0,28.0,79.0,100.0,76.0,283.0,C,70.75,Pass
std-10,male,group C,some high school,Unknown,0.0,71.0,22.0,85.0,39.0,217.0,D,54.25,Pass
std-11,male,group C,high school,1.0,Unknown,55.0,64.0,87.0,60.0,266.0,C,66.5,Pass
std-12,male,group E,associate's degree,1.0,0.0,57.178746867167916,53.0,54.0,55.0,219.17874686716792,D,54.79468671679197,Pass
std-13,male,group A,associate's degree,1.0,0.0,29.0,70.12591478696741,76.0,91.0,266.1259147869674,C,66.53147869674186,Pass
std-14,male,group E,high school,0.0,1.0,18.0,70.0,71.41579791499599,45.0,204.415797914996,D,51.103949478749,Pass
std-15,male,A,associate's degree,1.0,1.0,72.0,97.0,52.0,66.06304500350807,287.0630450035081,C,71.76576125087702,Pass
std-16,male,group D,master's degree,0.0,0.0,23.0,96.0,34.0,54.0,207.0,D,51.74999999999999,Pass
std-17,male,group E,some high school,0.0,0.0,35.0,70.0,87.0,91.0,283.0,C,70.75,Pass
std-18,male,group B,some college,0.0,1.0,38.0,82.0,82.0,73.0,275.0,C,68.75,Pass
std-19,Boy,group C,bachelor's degree,1.0,1.0,41.0,76.0,78.0,66.06304500350807,261.0630450035081,C,65.26576125087702,Pass
std-20,male,group B,some high school,1.0,1.0,22.0,73.0,71.41579791499599,75.0,241.415797914996,D,60.353949478749,Pass
std-21,male,group E,master's degree,1.0,1.0,44.0,70.12591478696741,50.0,47.0,211.12591478696743,D,52.78147869674186,Pass
std-22,male,group C,some high school,1.0,1.0,57.178746867167916,68.0,62.0,54.0,241.17874686716792,D,60.29468671679198,Pass
std-23,male,group B,bachelor's degree,1.0,1.0,39.0,71.0,49.0,78.0,237.0,D,59.25,Pass
std-24,male,group B,associate's degree,Unknown,1.0,85.0,97.0,43.0,57.0,282.0,C,70.5,Pass
std-25,male,group A,Unknown,1.0,0.0,30.0,63.0,63.0,9.0,165.0,D,41.25,Pass
std-26,male,Unknown,some college,1.0,1.0,100.0,38.0,74.0,95.0,307.0,B,76.75,Pass
std-27,Unknown,group C,some high school,1.0,0.0,61.0,64.0,81.0,44.0,250.0,C,62.5,Pass
std-28,male,group B,high school,0.0,0.0,47.0,49.0,98.0,46.0,240.0,D,60.0,Pass
std-29,male,group D,associate's degree,0.0,0.0,37.0,57.0,57.0,82.0,233.0,D,58.25,Pass
std-30,male,group E,high school,0.0,1.0,49.0,54.0,61.0,78.0,242.0,D,60.5,Pass
std-31,male,group E,some high school,1.0,1.0,72.0,89.0,64.0,81.0,306.0,B,76.5,Pass
std-32,male,group A,associate's degree,0.0,0.0,18.0,69.0,82.0,9.0,178.0,D,44.5,Pass
std-33,male,group C,associate's degree,0.0,0.0,11.0,67.0,60.0,31.0,169.0,D,42.25,Pass
std-34,male,group A,some college,1.0,1.0,41.0,77.0,97.0,65.0,280.0,C,70.0,Pass
std-35,male,group C,associate's degree,1.0,0.0,32.0,71.0,74.0,70.0,247.0,D,61.75000000000001,Pass
std-36,male,group A,some college,1.0,0.0,85.0,76.0,74.0,57.0,292.0,C,73.0,Pass
